"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
"139"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"
"140"	"Bacteria"	"Gemmatimonadota"	"Gemmatimonadetes"	"Gemmatimonadales"	"Gemmatimonadaceae"	NA
"141"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Pseudorhodobacter"
"142"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiales_Incertae_Sedis"	NA
"143"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Arenimonas"
"144"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Sediminibacterium"
"145"	"Bacteria"	"Actinobacteriota"	"Acidimicrobiia"	"Microtrichales"	"Ilumatobacteraceae"	"CL500-29_marine_group"
"146"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Candidatus_Limnoluna"
"147"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Candidatus_Planktoluna"
"148"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Frankiales"	"Sporichthyaceae"	"hgcI_clade"
"149"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Dinghuibacter"
"152"	"Bacteria"	"Campilobacterota"	"Campylobacteria"	"Campylobacterales"	"Arcobacteraceae"	"Pseudarcobacter"
"153"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"NS11-12_marine_group"	NA
"154"	"Bacteria"	"Actinobacteriota"	"Acidimicrobiia"	"Microtrichales"	"Ilumatobacteraceae"	"CL500-29_marine_group"
"155"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"
"156"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Chthoniobacterales"	"Chthoniobacteraceae"	"Chthoniobacter"
"158"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Polynucleobacter"
"160"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	NA
"162"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"NS9_marine_group"	NA
"163"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"
"164"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Rubritaleaceae"	"Luteolibacter"
"165"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"
"167"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Candidatus_Planktoluna"
"168"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Malikia"
"169"	"Bacteria"	"Actinobacteriota"	"Acidimicrobiia"	"Microtrichales"	"Ilumatobacteraceae"	"CL500-29_marine_group"
"171"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"
"172"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Limnohabitans"
"173"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"NS11-12_marine_group"	NA
"174"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"
"175"	"Bacteria"	"Actinobacteriota"	"Acidimicrobiia"	"Microtrichales"	"Ilumatobacteraceae"	"CL500-29_marine_group"
"177"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"Phycisphaerales"	"Phycisphaeraceae"	"CL500-3"
"178"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Sediminibacterium"
"179"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	NA
"180"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingorhabdus"
"181"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rhodoferax"
"182"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"
"183"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Polynucleobacter"
"185"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Crocinitomicaceae"	"Fluviicola"
"186"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Pseudarthrobacter"
"187"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Neisseriaceae"	NA
"188"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Methylophilaceae"	"Methylotenera"
"189"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Methylophilaceae"	NA
"190"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Rhodoluna"
"191"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Rhodoluna"
"192"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"
"194"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Limnohabitans"
"196"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Limnohabitans"
"198"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Opitutales"	"Opitutaceae"	"Opitutus"
"199"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Rhodoluna"
"200"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Edaphobaculum"
"201"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Cryomorphaceae"	NA
"202"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"
"203"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"
"204"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Frankiales"	"Sporichthyaceae"	"hgcI_clade"
"205"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"Phycisphaerales"	"Phycisphaeraceae"	"Algisphaera"
"206"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Limnohabitans"
"207"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"
"208"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Rubritaleaceae"	"Luteolibacter"
"211"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"
"212"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Ramlibacter"
"213"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Pedosphaerales"	"Pedosphaeraceae"	"SH3-11"
"214"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Chthoniobacterales"	"Terrimicrobiaceae"	"Terrimicrobium"
"215"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"NS11-12_marine_group"	NA
"216"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"
"219"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
"220"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"
"221"	"Bacteria"	"Actinobacteriota"	"Acidimicrobiia"	"Microtrichales"	"Ilumatobacteraceae"	"CL500-29_marine_group"
"224"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Polynucleobacter"
"225"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Rhodobacter"
"229"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Limnohabitans"
"230"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"
"231"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Dinghuibacter"
"232"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Hydrogenophaga"
"233"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Cyanobacteriales"	"Phormidiaceae"	"Planktothrix_NIVA-CYA_15"
"234"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Frankiales"	"Sporichthyaceae"	"Candidatus_Planktophila"
"236"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"
"238"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"
"239"	"Bacteria"	"Gemmatimonadota"	"Gemmatimonadetes"	"Gemmatimonadales"	"Gemmatimonadaceae"	"Gemmatimonas"
"240"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Opitutales"	"Opitutaceae"	"Opitutus"
"241"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Limnohabitans"
"242"	"Bacteria"	"Actinobacteriota"	"Acidimicrobiia"	"Microtrichales"	"Ilumatobacteraceae"	"CL500-29_marine_group"
"243"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Chthoniobacterales"	"Chthoniobacteraceae"	"Chthoniobacter"
"244"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"
"245"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cellvibrionales"	"Halieaceae"	"Halioglobus"
"246"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"
"247"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"env.OPS_17"	NA
"249"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Weeksellaceae"	"Chryseobacterium"
"250"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"
"251"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	"C39"
"252"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Frankiales"	"Sporichthyaceae"	"hgcI_clade"
